coachID,year,tmID,stint,won,lost,post_wins,post_losses,award
adamsmi01w,5,WAS,0,17,17,1,2,
adubari99w,1,NYL,0,20,12,4,3,
adubari99w,2,NYL,0,21,11,3,3,
adubari99w,3,NYL,0,18,14,4,4,
adubari99w,4,NYL,0,16,18,0,0,
adubari99w,5,NYL,1,7,9,0,0,
adubari99w,6,WAS,0,16,18,0,0,
adubari99w,7,WAS,0,18,16,0,2,
adubari99w,8,WAS,1,0,4,0,0,
aglerbr99w,1,MIN,0,15,17,0,0,
aglerbr99w,2,MIN,0,12,20,0,0,
aglerbr99w,3,MIN,1,6,13,0,0,
aglerbr99w,9,SEA,0,22,12,1,2,
aglerbr99w,10,SEA,0,20,14,1,2,
allenso99w,1,SAC,0,21,11,0,2,
allenso99w,2,SAC,1,6,6,0,0,
bibbyhe01w,6,LAS,1,13,15,0,0,
boguemu01w,6,CHA,2,3,7,0,0,
boguemu01w,7,CHA,0,11,23,0,0,
bouceje01w,8,SAC,0,19,15,1,2,
bouceje01w,9,SAC,0,18,16,1,2,
bouceje01w,10,SAC,1,3,10,0,0,
brownde01w,3,ORL,0,16,16,0,0,
brownde01w,5,SAS,2,6,20,0,0,
bryanjo01w,6,LAS,2,4,2,0,2,
bryanjo01w,7,LAS,0,25,9,2,3,
chancva99w,1,HOU,0,27,5,6,0,
chancva99w,2,HOU,0,19,13,0,2,
chancva99w,3,HOU,0,24,8,1,2,
chancva99w,4,HOU,0,20,14,1,2,
chancva99w,5,HOU,0,13,21,0,0,
chancva99w,6,HOU,0,19,15,2,3,
chancva99w,7,HOU,0,18,16,0,2,
coopecy01w,2,PHO,0,13,19,0,0,
coopecy01w,3,PHO,1,6,4,0,0,
coopemi01w,1,LAS,0,28,4,2,2,['Coach of the Year']
coopemi01w,2,LAS,0,28,4,6,1,
coopemi01w,3,LAS,0,25,7,6,0,
coopemi01w,4,LAS,0,24,10,5,4,
coopemi01w,5,LAS,1,14,6,0,0,
coopemi01w,8,LAS,0,10,24,0,0,
coopemi01w,9,LAS,0,20,14,3,3,
coopemi01w,10,LAS,0,18,16,3,3,
cowenda01w,7,CHI,0,5,29,0,0,
coylepa99w,5,NYL,2,11,7,2,3,
coylepa99w,6,NYL,0,18,16,0,2,
coylepa99w,7,NYL,0,11,23,0,0,
coylepa99w,8,NYL,0,16,18,1,2,
coylepa99w,9,NYL,0,19,15,3,3,
coylepa99w,10,NYL,1,6,11,0,0,
dailesh99w,4,SAS,2,6,6,0,0,
dailesh99w,5,SAS,1,3,5,0,0,
darscna99w,1,WAS,1,9,11,0,0,
donovan99w,1,IND,0,9,23,0,0,
donovan99w,2,CHA,0,18,14,4,4,
donovan99w,3,CHA,0,18,14,0,2,
donovan99w,4,SEA,0,18,16,0,0,
donovan99w,5,SEA,0,20,14,6,2,
donovan99w,6,SEA,0,20,14,1,2,
donovan99w,7,SEA,0,18,16,1,2,
donovan99w,8,SEA,0,17,17,0,2,
donovan99w,10,NYL,2,7,10,0,0,
dunnli99wc,1,SEA,0,6,26,0,0,
dunnli99wc,2,SEA,0,10,22,0,0,
dunnli99wc,3,SEA,0,17,15,0,2,
dunnli99wc,9,IND,0,17,17,1,2,
dunnli99wc,10,IND,0,22,12,6,4,
dunntr01wc,1,CHA,0,8,24,0,0,
fortnne99w,2,IND,0,10,22,0,0,
fortnne99w,3,IND,0,16,16,1,2,
fortnne99w,4,IND,0,16,18,0,0,
gaineco01w,9,PHO,0,16,18,0,0,
gaineco01w,10,PHO,0,23,11,7,4,
gilloje01w,10,MIN,0,14,20,0,0,
grafca99wc,5,PHO,0,17,17,0,0,
grafca99wc,6,PHO,0,16,18,0,0,
hargrli99w,1,POR,0,10,22,0,0,
hargrli99w,2,POR,0,11,21,0,0,
hargrli99w,3,POR,0,16,16,0,0,
harveca99w,2,UTA,2,14,5,0,2,
harveca99w,3,UTA,0,20,12,2,3,
harveca99w,4,SAS,1,6,16,0,0,
hugheda99w,1,CLE,0,17,15,3,3,
hugheda99w,2,CLE,0,22,10,1,2,['Coach of the Year']
hugheda99w,3,CLE,0,10,22,0,0,
hugheda99w,4,CLE,0,17,17,1,2,
hugheda99w,6,SAS,0,7,27,0,0,
hugheda99w,7,SAS,0,13,21,0,0,
hugheda99w,8,SAS,0,20,14,2,3,['Coach of the Year']
hugheda99w,9,SAS,0,24,10,4,5,
hugheda99w,10,SAS,0,15,19,1,2,
jenkica99w,7,MIN,2,1,10,0,0,
kenlaje99w,9,WAS,2,2,10,0,0,
keyst99wc,9,CHI,0,12,22,0,0,
keyst99wc,10,CHI,0,16,18,0,0,
laceytr99w,4,CHA,0,18,16,0,2,
laceytr99w,5,CHA,0,16,18,0,0,
laceytr99w,6,CHA,1,3,21,0,0,
laimbbi01w,3,DET,2,9,13,0,0,
laimbbi01w,4,DET,0,25,9,6,2,['Coach of the Year']
laimbbi01w,5,DET,0,17,17,1,2,
laimbbi01w,6,DET,0,16,18,0,2,
laimbbi01w,7,DET,0,23,11,7,3,
laimbbi01w,8,DET,0,24,10,6,5,
laimbbi01w,9,DET,0,22,12,7,2,
laimbbi01w,10,DET,1,1,2,0,0,
liebena01w,1,DET,0,14,18,0,0,
maherto99w,2,WAS,0,10,22,0,0,
mahorri01w,10,DET,2,17,14,3,2,
mcconsu01w,4,MIN,0,18,16,1,2,
mcconsu01w,5,MIN,0,18,16,0,2,['Coach of the Year']
mcconsu01w,6,MIN,0,14,20,0,0,
mcconsu01w,7,MIN,1,9,14,0,0,
mchugma99w,2,SAC,2,14,6,3,2,
mchugma99w,3,SAC,0,14,18,0,0,
mchugma99w,4,SAC,1,7,11,0,0,
meadoma99w,9,ATL,0,4,30,0,0,
meadoma99w,10,ATL,0,18,16,0,2,['Coach of the Year']
millech99w,1,PHO,0,20,12,0,2,
overtbo99w,8,CHI,0,14,20,0,0,
peckca99wc,1,ORL,0,16,16,1,2,
peckca99wc,2,ORL,0,13,19,0,0,
plankju99w,10,WAS,0,16,18,0,2,
rollitr01w,8,WAS,2,16,14,0,0,
rollitr01w,9,WAS,1,8,14,0,0,
rothsro99w,1,MIA,0,13,19,0,0,
rothsro99w,2,MIA,0,20,12,1,2,
rothsro99w,3,MIA,0,15,17,0,0,
sharpli99w,3,PHO,2,5,17,0,0,
shumajo01w,4,PHO,0,8,26,0,0,
stanlma99w,3,WAS,0,17,15,3,2,['Coach of the Year']
stanlma99w,4,WAS,0,9,25,0,0,
thibami99w,4,CON,0,18,16,2,2,
thibami99w,5,CON,0,18,16,5,3,
thibami99w,6,CON,0,26,8,5,3,
thibami99w,7,CON,0,26,8,3,2,['Coach of the Year']
thibami99w,8,CON,0,18,16,1,2,
thibami99w,9,CON,0,21,13,1,2,['Coach of the Year']
thibami99w,10,CON,0,16,18,0,0,
thompka99w,5,LAS,2,11,3,1,2,
thompka99w,8,HOU,0,13,21,0,0,
thompka99w,9,HOU,0,17,17,0,0,
vandehe99w,3,MIN,2,4,9,0,0,
walkeda01w,1,WAS,2,5,7,0,2,
weisery99w,5,LAS,2,11,3,1,2,
westhpa99w,7,PHO,0,18,16,0,0,
westhpa99w,8,PHO,0,23,11,7,2,
whisejo99w,4,SAC,2,12,4,3,3,
whisejo99w,5,SAC,0,18,16,3,3,
whisejo99w,6,SAC,0,25,9,7,1,['Coach of the Year']
whisejo99w,7,SAC,0,21,13,6,3,
whisejo99w,10,SAC,2,9,12,0,0,
willifr99w,1,UTA,0,18,14,0,0,
willifr99w,2,UTA,1,5,8,0,0,
willigr99w,2,DET,0,10,22,0,0,
willigr99w,3,DET,1,0,10,0,0,
wintebr01w,5,IND,0,15,19,0,0,
wintebr01w,6,IND,0,21,13,2,2,
wintebr01w,7,IND,0,21,13,0,2,
wintebr01w,8,IND,0,21,13,3,3,
zierddo99w,8,MIN,0,10,24,0,0,
zierddo99w,9,MIN,0,16,18,0,0,
